,Group,Element,Action,Value,Strategy,XPath
0,info,firstName,click,,id,"//*[@id=""firstName""]"
1,info,firstName,Input,PRAKYATH,id,"//*[@id=""firstName""]"
2,info,email,click,,id,"//*[@id=""email""]"
3,info,email,Input,P@GMAIL.COM,id,"//*[@id=""email""]"
4,info,middleName,click,,id,"//*[@id=""middleName""]"
5,info,middleName,Input,M,id,"//*[@id=""middleName""]"
6,info,mobileNumber,click,,id,"//*[@id=""mobileNumber""]"
7,info,mobileNumber,Input,342-5255,id,"//*[@id=""mobileNumber""]"
8,info,lastName,click,,id,"//*[@id=""lastName""]"
9,info,lastName,Input,CHAN,id,"//*[@id=""lastName""]"
10,info,Select Branch,click,,data-testid,"//*[@data-testid=""dropdown-button""]"
11,info,200 - TECU - COUVA BRANCH,click,,data-testid,"//*[@data-testid=""option-1""]"
12,page2,firstName,click,,id,"//*[@id=""firstName""]"
13,page2,firstName,click,,id,"//*[@id=""firstName""]"
14,page2,firstName,Input,SWARAJ,id,"//*[@id=""firstName""]"
15,page2,Save & Continue,click,,data-testid+text,"//*[@data-testid=""button"" and contains(., ""Save & Continue"")]"
16,lastname,lastName,click,,id,"//*[@id=""lastName""]"
17,lastname,lastName,click,,id,"//*[@id=""lastName""]"
18,lastname,lastName,Input,SENIOR,id,"//*[@id=""lastName""]"
19,lastname,Personal InformationFirst Name,click,,class,"//div[contains(@class, ""lg:w-[72%]"")]"
