label,xpath,strategy,matches,action,values
firstName,"//*[@id=""firstName""]",id,1,click,
firstName,"//*[@id=""firstName""]",id,1,Input,ABCDER
email,"//*[@id=""email""]",id,1,click,
email,"//*[@id=""email""]",id,1,Input,A@GMAIL.COM
middleName,"//*[@id=""middleName""]",id,1,click,
middleName,"//*[@id=""middleName""]",id,1,Input,DFG
mobileNumber,"//*[@id=""mobileNumber""]",id,1,click,
mobileNumber,"//*[@id=""mobileNumber""]",id,1,Input,999-9999
lastName,"//*[@id=""lastName""]",id,1,click,
lastName,"//*[@id=""lastName""]",id,1,Input,EDC
Select Branch,"//*[@data-testid=""dropdown-button""]",data-testid,1,click,
200 - TECU - COUVA BRANCH,"//*[@data-testid=""option-1""]",data-testid,1,click,
Save & Continue,"//*[@data-testid=""button"" and contains(., ""Save & Continue"")]",data-testid+text,1,click,
